genres,keywords,production_companies,tagline,title,cast,director
Music Drama Romance,flash mob dance instructor real estate development nike dance company,"[{""name"": ""Summit Entertainment"", ""id"": 491}]",One Step Can Change Your World,Step Up Revolution,Kathryn McCormick Ryan Guzman Stephen Boss Megan Boone Jessica Guadix,Scott Speer
Action Crime Horror Thriller,snake suspense fbi agent death animal attack,"[{""name"": ""New Line Cinema"", ""id"": 12}]","At 30,000 feet, snakes aren't the deadliest thing on this plane.",Snakes on a Plane,Samuel L. Jackson Julianna Margulies Kenan Thompson Nathan Phillips Rachel Blanchard,David R. Ellis
Mystery Thriller,chicago fbi menace covered investigation state of emergency,"[{""name"": ""Universal Pictures"", ""id"": 33}]",Don't go home alone.,The Watcher,James Spader Keanu Reeves Marisa Tomei Ernie Hudson Chris Ellis,Joe Charbanic
Action Crime Drama,chain submachine gun undercover smuggling twin brother,"[{""name"": ""Lions Gate Films"", ""id"": 35}, {""name"": ""VIP 3 Medienfonds"", ""id"": 827}, {""name"": ""Valhalla Motion Pictures"", ""id"": 11533}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""VIP 2 Medienfonds"", ""id"": 36326}]","There is no justice, there is only revenge.",The Punisher,Thomas Jane John Travolta Will Patton Roy Scheider Laura Harring,Jonathan Hensleigh
Drama,restaurant sport coach athlete newcastle united,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Milkshake Films"", ""id"": 17491}, {""name"": ""Hargitay & Hargitay Pictures in Motion"", ""id"": 17492}]",Every Dream Has A Beginning,Goal!: The Dream Begins,Kuno Becker Alessandro Nivola Anna Friel Stephen Dillane Gary Lewis,Danny Cannon
Action Crime Thriller,broken trachea,"[{""name"": ""Lawrence Bender Productions"", ""id"": 2253}, {""name"": ""IM Global"", ""id"": 7437}, {""name"": ""Automatik Entertainment"", ""id"": 7625}, {""name"": ""Trigger Street Productions"", ""id"": 11801}, {""name"": ""87Eleven"", ""id"": 23008}]",She has the code. He is the key.,Safe,Jason Statham Chris Sarandon James Hong Catherine Chan Robert John Burke,Boaz Yakin
Comedy Drama,competition airport air controller adversary,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Art Linson Productions"", ""id"": 8769}, {""name"": ""Dogstar Films"", ""id"": 17422}, {""name"": ""Taurus Film"", ""id"": 20555}, {""name"": ""3 Miles Apart Productions Ltd."", ""id"": 81141}]",A comedy about losing control,Pushing Tin,John Cusack Billy Bob Thornton Cate Blanchett Angelina Jolie Gene Dinovi,Mike Newell
Adventure Action Science Fiction,rebel brother sister relationship emperor space battle matter of life and death,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",The Empire Falls...,Return of the Jedi,Mark Hamill Harrison Ford Carrie Fisher Billy Dee Williams Anthony Daniels,Richard Marquand
Action Thriller Science Fiction,dystopia quarantine futuristic sword fight lethal virus,"[{""name"": ""Rogue Pictures"", ""id"": 134}, {""name"": ""Intrepid Pictures"", ""id"": 1224}, {""name"": ""Scion Films"", ""id"": 7419}, {""name"": ""Moonlighting Films"", ""id"": 9137}, {""name"": ""Internationale Filmproduktion Blackbird Dritte"", ""id"": 19855}, {""name"": ""Crystal Sky Pictures"", ""id"": 20241}]",Mankind has an expiration date.,Doomsday,Rhona Mitra Bob Hoskins Malcolm McDowell Alexander Siddig David O'Hara,Neil Marshall
Drama Romance,germany war crimes trial female prisoner teenager,"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Filmf\u00f6rderanstalt (FFA)"", ""id"": 270}, {""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Filmstiftung Nordrhein-Westfalen"", ""id"": 315}, {""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Filmf\u00f6rderungsanstalt (FFA)"", ""id"": 4247}, {""name"": ""Medienboard Berlin-Brandenburg"", ""id"": 7307}, {""name"": ""Deutsche Filmf\u00f6rderfonds (DFFF)"", ""id"": 11238}, {""name"": ""Mitteldeutsche Medienf\u00f6rderung (MDM)"", ""id"": 12346}]",Behind the mystery lies a truth that will make you question everything you know.,The Reader,Kate Winslet Ralph Fiennes David Kross Jeanette Hain Bruno Ganz,Stephen Daldry
Comedy,hippie commune nudism nude protest aftercreditsstinger,"[{""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Apatow Productions"", ""id"": 10105}, {""name"": ""A Hot Dog"", ""id"": 41962}]",Leave your baggage behind,Wanderlust,Paul Rudd Jennifer Aniston Justin Theroux Malin \u00c5kerman Lauren Ambrose,David Wain
Comedy Family Fantasy,holiday elves santa claus looking for  birth parents romance,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Gold/Miller Productions"", ""id"": 1607}, {""name"": ""Guy Walks into a Bar Productions"", ""id"": 2645}]","This holiday, discover your inner elf.",Elf,Will Ferrell James Caan Zooey Deschanel Mary Steenburgen Daniel Tay,Jon Favreau
Drama Fantasy Romance Science Fiction,brain tumor telekinesis genius terminal illness doctor,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]",Some things in life just can't be explained.,Phenomenon,John Travolta Kyra Sedgwick Forest Whitaker Robert Duvall Jeffrey DeMunn,Jon Turteltaub
Adventure Comedy Family,adoption log cabin alaska sled dogs,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",Get ready for mush hour!,Snow Dogs,Jim Belushi Cuba Gooding Jr. James Coburn M. Emmet Walsh Sisq\u00f3,Brian Levant
Fantasy Comedy Drama,holiday tv ratings comedy scrooge christmas carol,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",The spirits will move you in odd and hysterical ways.,Scrooged,Bill Murray Karen Allen John Forsythe Bobcat Goldthwait Carol Kane,Richard Donner
Comedy Family,nun sport orphanage ordensbruder ringer,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Black & White Productions"", ""id"": 2777}]",He's not lean. He's not mean. He's nacho average hero.,Nacho Libre,Jack Black Ana de la Reguera H\u00e9ctor Jim\u00e9nez Darius Rose Mois\u00e9s Arias,Jared Hess
Comedy Romance,competition jealousy fight materialism bridesmaid,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Apatow Productions"", ""id"": 10105}]",Save the date,Bridesmaids,Kristen Wiig Rose Byrne Maya Rudolph Wendi McLendon-Covey Ellie Kemper,Paul Feig
Action Comedy,rape monster panic friendship celebrity,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Mandate Pictures"", ""id"": 771}, {""name"": ""Sony Pictures Entertainment (SPE)"", ""id"": 7431}, {""name"": ""Point Grey Pictures"", ""id"": 16615}]",Nothing ruins a party like the end of the world.,This Is the End,James Franco Jonah Hill Seth Rogen Jay Baruchel Danny McBride,Seth Rogen
Horror,vatican miracle christian faith clergyman,"[{""name"": ""FGM Entertainment"", ""id"": 2347}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",The messenger must be silenced.,Stigmata,Patricia Arquette Gabriel Byrne Jonathan Pryce Nia Long Thomas Kopache,Rupert Wainwright
Drama,diving u.s. navy,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}]",History is made by those who break the rules.,Men of Honor,Robert De Niro Cuba Gooding Jr. Charlize Theron Aunjanue Ellis Hal Holbrook,"George Tillman, Jr."
Action Crime Drama Thriller,heist,"[{""name"": ""Rainforest Films"", ""id"": 1309}]",Who's Taking Who?,Takers,Chris Brown Hayden Christensen Matt Dillon Michael Ealy Idris Elba,John Luessenhop
Comedy,adoption marriage divorce birth mother,"[{""name"": ""Millenium Films"", ""id"": 1020}, {""name"": ""Two Ton Films"", ""id"": 17049}]",It's never too late to start acting like a family,The Big Wedding,Robert De Niro Diane Keaton Katherine Heigl Amanda Seyfried Topher Grace,Justin Zackham
Crime Comedy Action,undercover fbi sequel comedy disguise,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""The Collective Studios"", ""id"": 21237}, {""name"": ""Runteldat Entertainment"", ""id"": 73956}, {""name"": ""Friendly Films (II)"", ""id"": 81136}, {""name"": ""Friendly Films Productions"", ""id"": 81137}]",Momma's got back-up.,"Big Mommas: Like Father, Like Son",Martin Lawrence Brandon T. Jackson Portia Doubleday Mari Morrow Faizon Love,John Whitesell
Thriller Science Fiction Mystery,bomb identity fantasy bomber suspicion,"[{""name"": ""The Mark Gordon Company"", ""id"": 1557}, {""name"": ""Vendome Pictures"", ""id"": 7460}]",Make Every Second Count,Source Code,Jake Gyllenhaal Michelle Monaghan Vera Farmiga Russell Peters Michael Arden,Duncan Jones
Action Adventure Drama Thriller,rugby stranded survival plane wreck airplane crash,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",They survived the impossible...by doing the unthinkable.,Alive,Ethan Hawke Vincent Spano Josh Hamilton Bruce Ramsay John Newton,Frank Marshall
Thriller Drama Mystery,suicide based on novel hotel room obsession sadomasochism,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Contrafilm"", ""id"": 1836}, {""name"": ""Firm Films"", ""id"": 1838}]",First it takes hold of your mind...then it takes hold of your life.,The Number 23,Jim Carrey Virginia Madsen Logan Lerman Danny Huston Lynn Collins,Joel Schumacher
Adventure Drama Family,train cartographer,"[{""name"": ""Epith\u00e8te Films"", ""id"": 7286}, {""name"": ""Cross Creek Pictures"", ""id"": 10246}, {""name"": ""Tapioca Films"", ""id"": 12000}]", ,The Young and Prodigious T.S. Spivet,Kyle Catlett Helena Bonham Carter Judy Davis Callum Keith Rennie Niamh Wilson,Jean-Pierre Jeunet
Action Comedy,submarine california world war ii war ship pearl harbor,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""A-Team"", ""id"": 6128}]",Paranoia meets pandemonium.,1941,Dan Aykroyd Ned Beatty John Belushi Lorraine Gary Murray Hamilton,Steven Spielberg
Drama Family,horse race horse kentucky sport based on true story,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Hyde Park Entertainment"", ""id"": 13816}]", ,Dreamer: Inspired By a True Story,Kurt Russell Dakota Fanning Kris Kristofferson Elisabeth Shue David Morse,John Gatins
Drama Thriller Crime,robbery double life dual identity small town indiana,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""DC Comics"", ""id"": 429}, {""name"": ""BenderSpink"", ""id"": 6363}]",Tom Stall had the perfect life... until he became a hero.,A History of Violence,Viggo Mortensen Maria Bello Heidi Hayes Ashton Holmes William Hurt,David Cronenberg
Action Thriller Crime,martial arts war on drugs kidnapping bodyguard baby-snatching,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Current Entertainment"", ""id"": 972}, {""name"": ""TF 1 Film Productions"", ""id"": 1993}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",The Best In The Business Is Back In The Game.,Transporter 2,Jason Statham Amber Valletta Kate Nauta Alessandro Gassman Fran\u00e7ois Berl\u00e9and,Louis Leterrier
Action Western,gunslinger revenge prairie shootout pistol,"[{""name"": ""TriStar Pictures"", ""id"": 559}]",Think you are quick enough?,The Quick and the Dead,Sharon Stone Gene Hackman Russell Crowe Leonardo DiCaprio Tobin Bell,Sam Raimi
Action Comedy Romance Thriller,irland rock star court case rivalry falling in love,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Irish Dreamtime"", ""id"": 597}, {""name"": ""Deep River Productions"", ""id"": 2646}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}]",Love always has the last word.,Laws of Attraction,Pierce Brosnan Julianne Moore Michael Sheen Parker Posey Frances Fisher,Peter Howitt
Drama,new york coma ambulance night life drug addiction,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""De Fina-Cappa"", ""id"": 11584}]", ,Bringing Out the Dead,Nicolas Cage Patricia Arquette John Goodman Ving Rhames Tom Sizemore,Martin Scorsese
Action Science Fiction Thriller Crime,dystopia evil corporation repo man aftercreditsstinger,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Stuber Productions"", ""id"": 4403}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Relativity Media"", ""id"": 7295}]","For a price, any organ in your body can be replaced. But it can also be repossessed.",Repo Men,Jude Law Forest Whitaker Alice Braga Liev Schreiber Carice van Houten,Miguel Sapochnik
Fantasy Drama Horror Action Thriller,giant snake korea building dagger south korea,"[{""name"": ""Younggu-Art Movies"", ""id"": 6366}, {""name"": ""Showbox Entertainment"", ""id"": 11420}]",They've made our world their battleground,Dragon Wars: D-War,Jason Behr Robert Forster Aimee Garcia Chris Mulkey Elizabeth Pe\u00f1a,Shim Hyung-Rae
Fantasy Comedy Family,circus magic aunt imaginary friend,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Yorktown Productions"", ""id"": 1484}, {""name"": ""Warner Bros."", ""id"": 6194}]","A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid.",Bogus,Whoopi Goldberg G\u00e9rard Depardieu Haley Joel Osment Ute Lemper Andrea Martin,Norman Jewison
Comedy,magic las vegas,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Benderspink"", ""id"": 11175}, {""name"": ""Carousel Productions"", ""id"": 11176}]",Abracatastic!,The Incredible Burt Wonderstone,Steve Carell Jim Carrey Steve Buscemi Olivia Wilde James Gandolfini,Don Scardino
Animation Comedy Family Music,dance musical furry talking animal anthropomorphism,"[{""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""David Kirschner Productions"", ""id"": 11050}, {""name"": ""Turner Feature Animation"", ""id"": 90511}]",It's a Jungle Out There!,Cats Don't Dance,Scott Bakula Jasmine Guy Natalie Cole Ashley Peldon Lindsay Ridgeway,Mark Dindal
Drama, ,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]", ,Cradle Will Rock,Hank Azaria Rub\u00e9n Blades Joan Cusack John Cusack Bill Murray,Tim Robbins
War Crime Drama Mystery Romance,berlin corruption nazi background love of one's life chauffeur,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Section Eight Productions"", ""id"": 14315}, {""name"": ""Sunset Gower Studios"", ""id"": 70319}]","If war is Hell, then what comes after?",The Good German,George Clooney Cate Blanchett Tobey Maguire Tony Curran Leland Orser,Steven Soderbergh
Adventure,swordplay hero sword dragon,"[{""name"": ""Carousel Picture Company"", ""id"": 8900}, {""name"": ""ApolloMedia Distribution"", ""id"": 16850}, {""name"": ""Ravenhouse Entertainment"", ""id"": 19259}]", ,George and the Dragon,James Purefoy Piper Perabo Patrick Swayze Michael Clarke Duncan Bill Treacher,Tom Reeve
Drama War,guerrilla river vietnam vietcong cambodia,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Zoetrope Studios"", ""id"": 26663}]",This is the end...,Apocalypse Now,Martin Sheen Marlon Brando Robert Duvall Frederic Forrest Sam Bottoms,Francis Ford Coppola
Comedy Drama Romance,male nudity sex san francisco waitress newspaper,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Offspring Entertainment"", ""id"": 2378}]",A comedy about meeting each other halfway.,Going the Distance,Drew Barrymore Justin Long Charlie Day Jason Sudeikis Christina Applegate,Nanette Burstein
Music Drama Family,composer mentor deaf-mute musical apprentice,"[{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""The Charlie Mopic Company"", ""id"": 916}, {""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}, {""name"": ""Interscope Communications"", ""id"": 10201}]","Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,Richard Dreyfuss Glenne Headly Jay Thomas Olympia Dukakis William H. Macy,Stephen Herek
Action,cia memory convict implant,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""BenderSpink"", ""id"": 6363}, {""name"": ""Millennium Films"", ""id"": 10254}, {""name"": ""Fipex Holding"", ""id"": 40822}, {""name"": ""Campbell Grobman Films"", ""id"": 48738}, {""name"": ""Criminal Productions"", ""id"": 91929}]", ,Criminal,Kevin Costner Gary Oldman Tommy Lee Jones Ryan Reynolds Jordi Moll\u00e0,Ariel Vromen
Drama,dancing train station denmark fire cemetery,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Mirage Entertainment"", ""id"": 205}]",Based on a true story.,Out of Africa,Meryl Streep Robert Redford Klaus Maria Brandauer Michael Kitchen Malick Bowens,Sydney Pollack
Drama,confession airplane f word hangover airplane crash,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}, {""name"": ""ImageMovers"", ""id"": 11395}]", ,Flight,Denzel Washington Don Cheadle Bruce Greenwood Kelly Reilly John Goodman,Robert Zemeckis
Action Adventure Thriller Science Fiction,venice mass murder space marine space suit marcus square,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Eon Productions"", ""id"": 7576}]",Outer space now belongs to 007.,Moonraker,Roger Moore Lois Chiles Michael Lonsdale Corinne Cl\u00e9ry Richard Kiel,Lewis Gilbert
Comedy Drama,hotel painting wartime gunfight theft,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Indian Paintbrush"", ""id"": 9350}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""American Empirical Pictures"", ""id"": 23449}]",A perfect holiday without leaving home.,The Grand Budapest Hotel,Ralph Fiennes Tony Revolori F. Murray Abraham Mathieu Amalric Adrien Brody,Wes Anderson
Drama Mystery,american football billard baseball bat richard nixon psychic power,"[{""name"": ""Castle Rock Entertainment"", ""id"": 97}]",What if one of life's great mysteries moved in upstairs?,Hearts in Atlantis,Anthony Hopkins Anton Yelchin Hope Davis Mika Boorem David Morse,Scott Hicks
Comedy Horror,small town outbreak exterminator spider bite creature feature,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Tangled Web Productions"", ""id"": 2104}]","Eight legs, two fangs, and an attitude.",Arachnophobia,Jeff Daniels Harley Jane Kozak Garette Ratliff Henson Marlene Katz Julian Sands,Frank Marshall
Crime Drama Science Fiction Thriller,new york mother detective baseball radio,"[{""name"": ""New Line Cinema"", ""id"": 12}]",The future is listening.,Frequency,Dennis Quaid Jim Caviezel Andre Braugher Elizabeth Mitchell Noah Emmerich,Gregory Hoblit
Comedy,route 66 grand canyon cow vacation road trip,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""BenderSpink"", ""id"": 6363}, {""name"": ""David Dobkin Productions"", ""id"": 53060}]",What could go wrong?,Vacation,Ed Helms Christina Applegate Skyler Gisondo Steele Stebbins Chris Hemsworth,John Francis Daley
Comedy Thriller Crime,gambling miami based on novel job murder,"[{""name"": ""Jersey Films"", ""id"": 216}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","The mob is tough, but it’s nothing like show business.",Get Shorty,John Travolta Gene Hackman Rene Russo Danny DeVito Dennis Farina,Barry Sonnenfeld
Action Comedy Crime Drama Music,chicago based on stage musical prison matron jazz age nude man murdered,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Producers Circle"", ""id"": 734}, {""name"": ""Storyline Entertainment"", ""id"": 8797}]","If You Can't Be Famous, Be Infamous",Chicago,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
Comedy Drama,bachelor law vomit syracuse university law school,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",Nature called. Look who answered.,Big Daddy,Adam Sandler Joey Lauren Adams Kristy Swanson Cole Sprouse Jon Stewart,Dennis Dugan
Comedy Romance,sex party summer beach house group of friends,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Liveplanet"", ""id"": 2200}, {""name"": ""Zide-Perry Productions"", ""id"": 3169}]",This Summer It's All About Sticking Together.,American Pie 2,Jason Biggs Thomas Ian Nicholas Chris Klein Seann William Scott Eddie Kaye Thomas,J.B. Rogers
Animation Comedy Family,jealousy toy boy friendship friends,"[{""name"": ""Pixar Animation Studios"", ""id"": 3}]", ,Toy Story,Tom Hanks Tim Allen Don Rickles Jim Varney Wallace Shawn,John Lasseter
Action Adventure Crime,bomb airport bus bus ride highway,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",Get ready for rush hour,Speed,Keanu Reeves Dennis Hopper Sandra Bullock Joe Morton Jeff Daniels,Jan de Bont
Drama Romance,coma amnesia based on true story memory loss car accident,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Screen Gems"", ""id"": 3287}]", ,The Vow,Rachel McAdams Channing Tatum Sam Neill Scott Speedman Jessica Lange,Michael Sucsy
Drama, ,"[{""name"": ""Double Feature Films"", ""id"": 215}, {""name"": ""CBS Films"", ""id"": 5490}]",Don't hope for a miracle. Make one.,Extraordinary Measures,Harrison Ford Brendan Fraser Keri Russell Courtney B. Vance Meredith Droeger,Tom Vaughan
Drama,ku klux klan american football trainer sports team race politics,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Technical Black"", ""id"": 72823}, {""name"": ""Run It Up Productions Inc."", ""id"": 72824}]",History is written by the winners.,Remember the Titans,Denzel Washington Will Patton Ryan Hurst Wood Harris Hayden Panettiere,Boaz Yakin
Action Adventure Thriller,submarine cold war russian defection jack ryan,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nina Saxon Film Design"", ""id"": 1693}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}]",Invisible. Silent. Stolen.,The Hunt for Red October,Alec Baldwin Sean Connery Scott Glenn Sam Neill James Earl Jones,John McTiernan
Drama,white house butler biography civil rights,"[{""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Lee Daniels Entertainment"", ""id"": 695}, {""name"": ""Follow Through Productions"", ""id"": 18919}, {""name"": ""Salamander Pictures"", ""id"": 18920}, {""name"": ""Pam Williams Productions"", ""id"": 18921}, {""name"": ""Windy Hill Pictures"", ""id"": 18922}]",One quiet voice can ignite a revolution.,The Butler,Forest Whitaker David Banner Michael Rainey Jr. LaJessie Smith Mariah Carey,Lee Daniels
Comedy,underdog competition bank bar ball,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Red Hour Films"", ""id"": 12178}, {""name"": ""Mediastream Vierte Film GmbH & Co. Vermarktungs KG"", ""id"": 19354}]",Grab Life By The Ball,DodgeBall: A True Underdog Story,Vince Vaughn Christine Taylor Ben Stiller Rip Torn Justin Long,Rawson Marshall Thurber
Horror Comedy Fantasy,dead wish vampire black humor uncle eccentric,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Scott Rudin Productions"", ""id"": 258}]",Weird Is Relative,The Addams Family,Ra\u00fal Juli\u00e1 Anjelica Huston Christopher Lloyd Christina Ricci Carel Struycken,Barry Sonnenfeld
Crime Comedy Adventure,africa indigenous human animal relationship bat,"[{""name"": ""O Entertainment"", ""id"": 5682}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}]",New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,Jim Carrey Ian McNeice Simon Callow Maynard Eziashi Bob Gunton,Steve Oedekerk
Comedy Family Romance,heir to the throne grandmother granddaughter relationship high school princess royalty,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""BrownHouse Productions"", ""id"": 26423}, {""name"": ""Bottom of the Ninth Productions"", ""id"": 65559}]",She rocks. She rules. She reigns.,The Princess Diaries,Anne Hathaway Julie Andrews Heather Matarazzo Robert Schwartzman H\u00e9ctor Elizondo,Garry Marshall
Comedy,divorce divorced woman reunited friends,"[{""name"": ""Scott Rudin Productions"", ""id"": 258}]",Don't get mad. Get everything.,The First Wives Club,Goldie Hawn Bette Midler Diane Keaton Maggie Smith Dan Hedaya,Hugh Wilson
Crime Mystery Thriller,self-fulfilling prophecy detective s.w.a.t. drug dealer evisceration,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Juno Pix"", ""id"": 4286}, {""name"": ""Cecchi Gori Pictures"", ""id"": 65394}]",Seven deadly sins. Seven ways to die.,Se7en,Brad Pitt Morgan Freeman Gwyneth Paltrow John C. McGinley Kevin Spacey,David Fincher
Science Fiction,slum street gang mutation south africa johannesburg,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Key Creatives"", ""id"": 2300}, {""name"": ""Block / Hanson"", ""id"": 8504}, {""name"": ""Canadian Film or Video Production Tax Credit (CPTC)"", ""id"": 8582}, {""name"": ""The Department of Trade and Industry of South Africa"", ""id"": 10884}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Province of British Columbia Production Services Tax Credit"", ""id"": 12200}, {""name"": ""District 9"", ""id"": 20667}, {""name"": ""New Zealand Post Digital and Visual Effects Grant"", ""id"": 20668}]",You are not welcome here.,District 9,Sharlto Copley Jason Cope Nathalie Boltt Sylvaine Strike Elizabeth Mkandawie,Neill Blomkamp
Animation Comedy Family,ocean sea star water freeze,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""United Plankton Pictures"", ""id"": 8921}, {""name"": ""Paramount Animation"", ""id"": 24955}]",Bigger. Better. More absorbent.,The SpongeBob SquarePants Movie,Tom Kenny Clancy Brown Rodger Bumpass Bill Fagerbakke Carolyn Lawrence,Stephen Hillenburg
Thriller Crime Drama Mystery,child abuse sexual abuse loss of child repayment suppressed past,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}]","We bury our sins, we wash them clean.",Mystic River,Sean Penn Tim Robbins Kevin Bacon Laurence Fishburne Marcia Gay Harden,Clint Eastwood
Drama,transporter suicide attempt strong woman boxer dying and death,"[{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Albert S. Ruddy Productions"", ""id"": 16311}]","Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby,Clint Eastwood Hilary Swank Morgan Freeman Jay Baruchel Mike Colter,Clint Eastwood
Comedy Crime,new york mafia boss wedding psychiatrist,"[{""name"": ""Spring Creek Productions"", ""id"": 705}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Tribeca Productions"", ""id"": 11391}, {""name"": ""Baltimore Pictures"", ""id"": 11407}]",New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.,Analyze This,Robert De Niro Billy Crystal Lisa Kudrow Chazz Palminteri Joe Viterelli,Harold Ramis
